CustomerID,Recency,Frequency,Monetary,AvgOrderValue
12346,326,1,77183.6,77183.6
12347,2,7,4310.0,23.68
12348,75,4,1797.24,57.98
12349,19,1,1757.55,24.08
12350,310,1,334.4,19.67
12352,36,8,2506.04,29.48
12353,204,1,89.0,22.25
12354,232,1,1079.4,18.61
12355,214,1,459.4,35.34
12356,23,3,2811.43,47.65
12357,33,1,6207.67,47.39
12358,2,2,1168.06,61.48
12359,58,4,6310.03,25.76
12360,52,3,2662.06,20.64
12361,287,1,189.9,18.99
12362,3,10,5226.23,19.65
12363,110,2,552.0,24.0
12364,8,4,1313.1,15.45
12365,291,2,641.38,29.15
12367,4,1,168.9,15.35
12370,51,4,3541.94,21.34
12371,45,2,1887.96,29.97
12372,72,3,1298.04,24.96
12373,311,1,364.6,26.04
12374,25,1,742.93,22.51
12375,11,2,457.5,26.91
12377,315,2,1628.12,21.14
12378,130,1,4008.62,18.3
12379,82,2,852.24,21.31
12380,22,4,2724.81,26.2
12381,5,5,1845.31,21.21
12383,185,5,1850.56,18.69
12384,29,2,585.27,21.68
12386,338,2,401.9,40.19
12388,16,6,2780.66,27.81
12390,80,1,549.84,17.18
12391,22,1,439.66,4.73
12393,72,4,1582.6,24.73
12394,64,2,1272.48,47.13
12395,19,12,3018.63,19.35
12397,36,2,2409.9,19.13
12398,46,1,1635.66,19.24
12399,119,4,1108.65,18.79
12401,303,1,84.3,16.86
12402,323,1,225.6,20.51
12403,50,1,427.7,85.54
12405,149,1,1710.39,31.67
12406,22,2,3415.3,32.53
12407,50,5,1708.12,22.18
12408,33,5,2888.55,27.51
12409,79,3,11072.67,101.58
12410,309,2,693.33,26.67
12412,75,3,1226.88,20.11
12413,67,3,758.1,19.95
12414,217,3,562.41,31.24
12415,24,21,124914.53,174.95
12417,3,9,3649.1,19.01
12418,113,1,668.58,19.66
12420,64,1,600.39,20.7
12421,16,4,807.04,17.93
12422,96,3,803.56,20.6
12423,1,8,1859.31,14.87
12424,163,2,1760.96,58.7
12425,78,1,777.2,21.59
12426,195,1,582.73,19.42
12427,22,3,825.8,26.64
12428,26,9,7956.46,27.06
12429,9,4,3750.4,38.66
12430,43,1,256.4,23.31
12431,36,15,6419.95,27.44
12432,43,5,5059.32,46.85
12433,1,7,13375.87,31.85
12434,85,2,806.14,16.12
12435,80,2,7829.89,217.5
12436,100,1,509.01,31.81
12437,2,18,4951.41,24.88
12438,14,2,2906.85,29.66
12441,367,1,173.55,15.78
12442,3,1,172.06,14.34
12444,21,5,5005.46,28.44
12445,22,1,133.4,33.35
12446,58,1,1002.31,17.58
12447,243,1,476.49,18.33
12448,44,1,449.45,20.43
12449,22,4,4067.29,21.29
12450,156,2,197.88,24.74
12451,11,5,9035.52,25.52
12452,17,2,430.57,19.57
12453,134,1,707.09,16.44
12454,56,1,3528.34,235.22
12455,73,6,2466.86,27.41
12456,44,3,3181.04,25.45
12457,66,7,2363.23,38.12
12458,71,2,947.4,24.93
12461,94,2,826.88,23.63
12462,19,2,1189.59,19.19
12463,53,4,1344.78,16.2
12464,10,8,1212.05,41.79
12465,17,2,742.19,15.79
12468,188,2,729.54,19.2
12471,2,30,19788.65,43.11
12472,32,7,6572.11,19.39
12473,29,5,3928.05,23.52
12474,17,18,7324.09,17.36
12475,54,1,723.38,20.09
12476,16,11,6816.42,29.26
12477,23,6,13219.74,44.07
12478,4,1,680.99,18.92
12479,11,1,527.2,17.01
12480,28,4,3281.63,21.31
12481,23,10,5579.82,25.83
12483,17,8,2484.98,33.13
12484,33,6,4527.32,13.2
12488,10,3,1298.66,23.61
12489,336,1,334.93,22.33
12490,5,10,5417.93,22.11
12491,39,1,460.4,17.71
12492,63,2,263.21,13.16
12493,166,2,433.74,19.72
12494,16,7,1246.1,16.18
12497,82,1,1043.1,74.51
12498,21,3,403.7,17.55
12500,23,11,4257.82,69.8
12501,337,1,2169.39,14.56
12502,96,5,3723.87,25.33
12504,18,2,482.05,53.56
12506,233,1,73.5,3.2
12507,134,3,1304.81,62.13
12508,26,2,397.88,5.85
12509,284,1,176.5,25.21
12510,143,2,982.57,29.77
12512,66,2,132.18,4.26
12513,113,1,612.29,17.49
12514,267,1,1017.68,19.95
12515,353,1,383.7,23.98
12516,78,2,1312.06,50.46
12517,28,5,2481.6,8.89
12518,1,5,2056.89,16.59
12519,64,1,330.84,19.46
12520,79,5,2634.26,17.33
12521,143,1,599.68,15.78
12522,39,2,192.72,16.06
12523,19,11,1789.77,16.88
12524,9,8,4485.72,31.15
12526,1,3,1316.66,18.54
12527,82,3,348.71,19.37
12528,9,6,1933.48,21.02
12530,60,4,1662.28,25.19
12531,15,1,125.22,7.37
12532,30,1,349.83,21.86
12534,131,1,1089.18,17.29
12535,92,2,716.35,21.07
12536,43,3,12601.83,48.28
12538,29,1,363.95,17.33
12539,22,4,5568.35,20.4
12540,20,17,13400.24,28.03
12541,30,3,981.18,18.87
12544,36,1,372.7,19.62
12545,75,2,1000.39,20.01
12546,47,2,1161.5,16.83
12547,198,2,207.8,25.98
12548,166,1,95.2,19.04
12550,79,1,964.83,16.93
12551,358,1,168.0,16.8
12552,39,2,437.82,21.89
12553,8,10,3692.28,19.33
12556,50,2,599.56,5.04
12557,16,5,11990.96,363.36
12558,8,1,269.96,24.54
12559,311,2,561.71,26.75
12560,5,3,2134.01,20.32
12561,303,1,238.85,14.93
12562,8,7,3781.74,22.51
12564,261,1,456.9,21.76
12565,289,1,145.92,16.21
12566,86,1,351.65,18.51
12567,23,10,9401.28,21.08
12569,2,32,4124.69,21.94
12571,40,2,519.61,15.28
12572,9,2,1020.42,17.01
12573,227,1,160.54,5.73
12574,316,1,218.45,19.86
12576,36,5,1315.83,14.95
12577,35,3,626.6,4.29
12578,21,2,2794.51,24.51
12579,78,1,440.42,15.19
12580,247,1,415.7,17.32
12581,40,1,197.71,13.18
12582,239,2,511.36,23.24
12583,3,15,7281.38,29.48
12584,4,9,2338.15,24.36
12585,234,2,2040.1,23.45
12586,17,1,196.94,17.9
12587,8,1,144.0,36.0
12588,39,1,214.9,21.49
12589,29,2,646.68,18.48
12590,211,2,9864.26,145.06
12591,317,1,452.85,17.42
12592,92,2,437.6,24.31
12593,109,3,418.1,19.91
12594,38,10,3338.22,28.29
12596,51,2,618.27,22.9
12597,19,4,3811.22,18.5
12598,10,8,3023.08,22.9
12599,29,7,1032.58,16.65
12600,29,10,2599.04,40.61
12601,190,5,577.06,20.61
12602,59,1,153.12,12.76
12603,22,1,739.2,369.6
12604,79,2,254.18,15.89
12607,60,1,1579.51,15.64
12609,78,3,1126.85,18.78
12610,23,5,2099.54,19.81
12611,52,1,1193.32,18.36
12612,74,1,704.04,37.05
12613,57,5,3344.38,21.86
12614,278,1,315.6,15.78
12615,2,4,2291.19,21.82
12616,95,2,713.3,22.29
12617,29,1,352.98,8.61
12618,22,1,177.31,16.12
12619,16,9,3641.24,40.46
12620,15,3,1339.41,14.56
12621,2,20,13689.67,29.31
12622,232,1,180.1,16.37
12623,276,1,305.1,16.95
12624,106,2,641.13,16.87
12625,212,2,2683.82,31.21
12626,23,9,6620.48,22.52
12627,11,7,4478.53,19.47
12628,4,3,786.46,19.18
12630,10,2,1270.88,19.86
12631,57,1,640.5,20.66
12633,59,4,2163.98,21.43
12635,90,2,1689.18,16.72
12637,67,8,6002.9,15.71
12638,33,1,671.69,17.22
12639,239,1,486.1,22.1
12640,24,3,1174.58,22.16
12641,115,1,185.9,18.59
12642,25,3,1013.26,21.56
12643,128,6,3344.64,139.36
12644,130,1,477.91,15.42
12645,34,4,1775.18,24.32
12646,5,2,1346.97,29.93
12647,22,12,3722.82,30.77
12648,155,1,318.05,15.15
12649,107,3,623.51,20.11
12650,3,1,314.44,15.72
12651,335,1,114.0,12.67
12652,331,1,919.98,19.17
12653,149,2,2209.85,51.39
12654,11,5,601.98,15.84
12656,17,5,4051.17,32.15
12657,11,4,1643.18,34.96
12658,19,1,686.05,19.06
12659,30,1,91.68,18.34
12660,11,1,245.1,18.85
12662,1,11,3849.78,16.74
12664,8,9,4881.88,131.94
12665,325,1,63.0,21.0
12667,58,1,620.13,18.79
12668,12,4,3807.15,23.65
12669,151,3,2744.03,27.17
12670,10,5,2996.05,32.57
12672,330,1,225.9,22.59
12673,5,2,610.52,14.54
12674,39,4,1970.6,23.74
12676,25,6,1331.39,29.59
12678,42,12,17628.46,106.84
12679,59,4,1113.02,23.19
12680,1,4,862.81,16.59
12681,15,22,13787.54,21.61
12682,4,31,12279.82,23.43
12683,4,15,8476.57,24.64
12684,8,7,2283.63,21.75
12685,28,6,2863.08,18.24
12686,372,1,89.14,12.73
12688,114,1,4873.81,28.5
12689,26,2,1247.61,17.33
12690,206,1,389.01,24.31
12691,28,6,1035.8,32.37
12693,127,4,855.91,21.95
12694,70,2,869.67,23.5
12695,7,4,582.1,21.56
12697,29,3,957.59,23.36
12700,8,4,4939.99,18.43
12701,80,2,797.71,15.05
12702,20,1,219.0,18.25
12703,71,1,283.55,13.5
12704,7,8,2340.84,26.6
12705,15,9,6868.29,20.56
12707,292,1,603.42,18.29
12708,30,10,2712.91,17.28
12709,15,15,9706.52,46.89
12710,97,3,1149.02,14.92
12712,29,13,4396.13,33.05
12713,1,1,848.55,22.33
12714,9,5,4708.86,18.18
12715,106,1,343.36,17.17
12716,4,2,1053.49,15.27
12717,151,2,1030.98,18.75
12718,71,1,238.25,12.54
12719,5,2,644.95,16.54
12720,3,25,5781.73,16.33
12721,32,6,2656.13,16.5
12722,85,4,997.63,18.82
12723,4,5,725.07,10.51
12724,5,4,1031.41,19.46
12725,371,1,427.8,17.82
12726,28,7,2609.1,21.04
12727,11,7,3980.7,28.64
12728,71,4,836.33,18.18
12729,114,1,453.01,17.42
12731,24,12,18895.91,68.96
12732,180,1,236.26,19.69
12733,234,1,383.95,17.45
12734,353,1,110.4,27.6
12735,315,2,779.57,18.13
12736,333,1,234.0,58.5
12738,372,1,155.35,14.12
12739,78,2,1013.04,26.66
12740,64,1,427.6,15.84
12743,134,2,540.13,4.12
12744,52,7,21279.29,95.85
12747,2,11,4196.01,40.74
12748,1,209,33053.19,7.49
12749,4,5,4090.88,20.56
12750,129,1,275.88,18.39
12752,81,1,4366.78,82.39
12753,23,6,21429.39,108.78
12754,236,3,3010.74,47.79
12755,281,2,3811.95,952.99
12756,87,1,112.08,28.02
12757,16,13,7834.65,21.52
12758,117,2,2791.59,28.78
12759,52,3,1531.44,16.12
12762,8,2,1898.52,27.51
12763,138,2,494.08,27.45
12764,317,1,1693.88,37.64
12766,4,7,6989.63,22.55
12769,239,1,1143.6,35.74
12770,211,1,1351.45,112.62
12772,60,1,892.47,16.23
12775,17,5,1386.04,21.0
12778,20,6,822.23,16.44
12779,38,8,3981.36,26.72
12781,64,2,826.74,33.07
12782,5,5,2330.92,22.63
12783,2,6,2225.91,26.5
12784,9,2,532.82,9.35
12785,364,1,311.95,22.28
12787,10,3,463.66,23.18
12789,65,1,91.85,22.96
12790,192,1,324.92,15.47
12791,374,1,192.6,96.3
12792,257,1,400.54,16.02
12793,335,2,545.48,22.73
12794,53,2,860.41,19.12
12795,19,1,430.48,30.75
12797,366,1,254.03,19.54
12798,10,3,6977.04,872.13
12802,187,1,427.58,17.1
12808,37,3,483.65,17.27
12809,178,1,489.31,19.57
12811,261,3,514.85,16.61
12812,45,1,229.64,15.31
12814,102,1,125.92,62.96
12815,148,2,1063.46,22.63
12816,96,2,572.2,19.73
12817,281,1,166.04,41.51
12818,262,1,1542.08,110.15
12820,3,4,942.34,15.97
12821,214,1,92.72,15.45
12822,71,2,948.88,20.63
12823,75,5,1759.5,351.9
12824,60,1,397.12,15.88
12826,3,7,1474.72,16.21
12827,6,3,430.15,17.21
12828,3,6,1018.71,18.19
12829,337,2,293.0,26.64
12830,38,6,6814.64,179.33
12831,262,1,215.05,23.89
12832,32,2,383.03,14.19
12833,145,1,417.38,17.39
12834,283,1,312.38,17.35
12836,59,4,2610.36,15.0
12837,173,1,134.1,11.18
12838,34,2,671.95,5.6
12839,3,14,5591.42,17.81
12840,144,4,2726.77,24.13
12841,5,25,3991.58,9.64
12842,70,2,1118.99,32.91
12843,66,8,1702.26,16.53
12844,29,2,325.96,6.27
12845,267,4,354.09,13.11
12847,22,1,843.64,10.04
12849,31,2,1010.29,21.05
12851,97,1,131.81,2.8
12852,295,1,311.55,18.33
12853,135,6,1957.1,25.09
12854,79,3,1316.25,12.08
12855,373,1,38.1,12.7
12856,8,6,2170.78,6.98
12857,211,2,1106.4,24.05
12863,52,1,521.2,104.24
12864,138,1,147.12,49.04
12865,26,2,1568.23,16.51
12866,283,1,559.12,21.5
12867,26,7,4009.34,7.51
12868,186,6,1607.06,15.02
12871,84,2,380.64,34.6
12872,327,2,599.97,9.09
12873,282,1,374.0,93.5
12875,143,2,343.23,171.62
12876,58,2,2218.02,26.09
12877,4,12,1535.77,9.97
12878,236,2,854.99,18.19
12879,45,3,573.22,57.32
12881,276,1,298.0,42.57
12882,9,2,1463.04,112.54
12883,25,4,703.47,16.75
12884,88,1,309.05,44.15
12885,63,3,1175.22,16.55
12886,68,2,1378.4,16.81
12888,214,2,354.12,70.82
12890,24,1,376.72,4.77
12891,186,3,331.0,110.33
12893,31,1,176.55,5.7
12895,42,2,372.8,16.95
12897,205,2,216.5,54.12
12901,9,28,17654.54,152.19
12902,265,1,138.68,13.87
12904,18,2,496.06,6.99
12906,12,5,2919.81,46.35
12908,176,2,750.0,375.0
12909,40,5,2178.67,23.94
12910,23,8,3075.04,41.0
12912,3,5,1662.3,69.26
12913,5,5,2483.63,49.67
12915,149,2,363.65,16.53
12916,139,4,2944.95,28.59
12917,128,1,594.0,297.0
12919,8,6,1335.19,26.7
12920,17,1,162.78,6.03
12921,9,37,16587.09,23.04
12922,161,1,405.38,14.48
12923,64,1,172.82,6.17
12924,88,4,933.7,31.12
12925,5,2,694.05,15.42
12928,35,5,2062.7,24.56
12929,312,1,117.85,14.73
12930,78,2,415.8,16.63
12931,22,15,42055.96,512.88
12933,24,3,607.53,5.73
12935,2,7,2160.7,16.75
12936,17,4,1063.9,17.16
12937,15,4,1504.27,12.54
12938,26,1,114.14,12.68
12939,64,8,11581.8,246.42
12940,55,2,899.69,9.37
12942,131,3,675.6,9.65
12944,36,2,604.51,20.15
12945,288,1,462.95,20.13
12947,144,6,1603.99,16.54
12948,16,7,2064.95,17.8
12949,31,8,4167.22,19.38
