year_month,total_sales,total_profit,total_orders
2020-01,3239191.97,514122.99,75
2020-02,3193029.4699999997,532346.46,58
2020-03,1951734.74,421762.44,58
2020-04,2728668.38,515278.4,63
2020-05,4810337.05,898397.72,78
2020-06,2513225.87,477271.73,55
2020-07,3296511.95,651191.93,65
2020-08,2642055.91,613058.5755,62
2020-09,3153578.59,582329.6,60
2020-10,3452660.25,620972.46,59
2020-11,2309560.9299999997,257426.16,54
2020-12,4267952.5,624983.4605,73
2021-01,4707088.87,609285.2705,64
2021-02,3683588.06,620882.39,65
2021-03,2421225.14,427579.44,62
2021-04,2674288.41,644462.856,59
2021-05,3950216.4,953114.33,72
2021-06,3140652.45,835352.22,54
2021-07,2741214.15,585429.872,65
2021-08,4251303.67,1028101.79,69
2021-09,4147520.34,774938.5800000001,60
2021-10,3268221.51,512435.54,67
2021-11,2778061.4899999998,388572.99,70
2021-12,2604892.72,391721.55,71
2022-01,3025597.14,478799.19,64
2022-02,2339930.08,605871.6215,68
2022-03,4117705.2800000003,823211.45,74
2022-04,3194883.18,753760.92,65
2022-05,3489852.78,809650.1900000001,60
2022-06,3651446.35,1065072.97,69
2022-07,3731266.1,1170800.71,76
2022-08,2748680.69,664190.14,77
2022-09,3971339.16,833884.0800000001,74
2022-10,4298223.21,831004.52,75
2022-11,3053309.3,468311.14,63
2022-12,3278178.3000000003,398136.38,65
2023-01,1906902.5699999998,381329.8875,63
2023-02,3425976.49,628568.68,71
2023-03,2596105.2,534073.79,65
2023-04,2473830.79,662463.6,61
2023-05,2772978.31,905469.974,59
2023-06,3088092.67,848979.938,69
2023-07,4202286.3,1023359.748,70
2023-08,3115901.84,889830.16,74
2023-09,2950920.86,782099.22,60
2023-10,1876297.22,460942.11,70
2023-11,3911197.04,643433.26,66
2023-12,3210996.94,513839.51,68
2024-01,2595911.1500000004,351293.97,56
2024-02,3163065.78,636946.87,56
2024-03,3851523.56,891710.16,68
2024-04,3698652.0700000003,970031.7925,65
2024-05,1453002.14,576929.1945,64
2024-06,3263387.44,933386.6795,62
2024-07,3348407.4299999997,925847.35,76
2024-08,5111935.71,1404309.92,93
2024-09,1530088.65,438202.2,56
2024-10,2029925.14,442207.26,58
2024-11,3258093.11,452973.17,49
2024-12,2978552.59,565086.12,66
