Topic,Sentiment,TweetId,TweetDate,TweetText,sentiment_label,clean_text
apple,positive,126415614616154112,Tue Oct 18 21:53:25 +0000 2011,Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,Positive,get swype iphone crack iphone
apple,positive,126404574230740992,Tue Oct 18 21:09:33 +0000 2011,@Apple will be adding more carrier support to the iPhone 4S (just announced),Positive,adding carrier support iphone announced
apple,positive,126402758403305474,Tue Oct 18 21:02:20 +0000 2011,Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,Positive,hilarious video guy duet siri pretty much sum love affair
apple,positive,126397179614068736,Tue Oct 18 20:40:10 +0000 2011,@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,Positive,made easy switch iphone see ya
apple,positive,126395626979196928,Tue Oct 18 20:34:00 +0000 2011,I just realized that the reason I got into twitter was ios5 thanks @apple,Positive,realized reason got twitter io thanks
apple,positive,126394830791254016,Tue Oct 18 20:30:50 +0000 2011,"I'm a current @Blackberry user, little bit disappointed with it! Should I move to @Android or @Apple @iphone",Positive,im current user little bit disappointed move
apple,positive,126379685453119488,Tue Oct 18 19:30:39 +0000 2011,The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,Positive,strangest thing siri said far sooo glad gave siri sense humor via
apple,positive,126377656416612353,Tue Oct 18 19:22:35 +0000 2011,Great up close & personal event @Apple tonight in Regent St store!,Positive,great close personal event tonight regent st store
apple,positive,126373779483004928,Tue Oct 18 19:07:11 +0000 2011,From which companies do you experience the best customer service aside from @zappos and @apple?,Positive,company experience best customer service aside
apple,positive,126366353757179904,Tue Oct 18 18:37:41 +0000 2011,"Just apply for a job at @Apple, hope they call me lol",Positive,apply job hope call lol
apple,positive,126366123368267776,Tue Oct 18 18:36:46 +0000 2011,RT @JamaicanIdler: Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to h ...,Positive,rt lmao think onto something magical dying haha siri suggested find whore
apple,positive,126365858481188864,Tue Oct 18 18:35:43 +0000 2011,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,Positive,lmao think onto something magical dying haha siri suggested find whore hide body lolol
apple,positive,126360935509135362,Tue Oct 18 18:16:09 +0000 2011,"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",Positive,rt registered developer here hoping actually help greatly appreciated
apple,positive,126360398885687296,Tue Oct 18 18:14:01 +0000 2011,Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,Positive,wow great deal refurbed ipad first gen model rt apple offer great deal refurbished stgen ipads
apple,positive,126358340220616704,Tue Oct 18 18:05:50 +0000 2011,"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",Positive,registered developer here hoping actually help greatly appreciated
apple,positive,126357982685569024,Tue Oct 18 18:04:25 +0000 2011,你好 ! Currently learning Mandarin for my upcoming trip to Hong Kong. I gotta hand it to @Apple iPhones & their uber useful flashcard apps  ,Positive,currently learning mandarin upcoming trip hong kong gotta hand iphones uber useful flashcard apps
apple,positive,126352268705538048,Tue Oct 18 17:41:43 +0000 2011,"Come to the dark side 📱“@gretcheneclark: Hey @apple, if you send me a free iPhone, I will publicly and ceremoniously burn my #BlackBerry.”",Positive,come dark side hey send free iphone publicly ceremoniously burn blackberry
