Category,App_Count
FAMILY,1877
GAME,945
TOOLS,829
BUSINESS,420
MEDICAL,395
PERSONALIZATION,376
PRODUCTIVITY,374
LIFESTYLE,369
FINANCE,345
SPORTS,325
COMMUNICATION,315
HEALTH_AND_FITNESS,288
PHOTOGRAPHY,281
NEWS_AND_MAGAZINES,254
SOCIAL,239
BOOKS_AND_REFERENCE,222
TRAVEL_AND_LOCAL,219
SHOPPING,202
DATING,170
VIDEO_PLAYERS,164
MAPS_AND_NAVIGATION,131
FOOD_AND_DRINK,112
EDUCATION,106
ENTERTAINMENT,86
AUTO_AND_VEHICLES,85
LIBRARIES_AND_DEMO,84
WEATHER,79
HOUSE_AND_HOME,73
EVENTS,64
ART_AND_DESIGN,61
PARENTING,60
COMICS,56
BEAUTY,53
