Category,Total_Reviews,Positive_Reviews,Negative_Reviews,Neutral_Reviews,Positive_Ratio (%),Negative_Ratio (%),Neutral_Ratio (%),Avg_Polarity
COMICS,45,38,1,6,84.44,2.22,13.33,0.4498
AUTO_AND_VEHICLES,283,223,14,46,78.8,4.95,16.25,0.3431
EVENTS,156,119,13,24,76.28,8.33,15.38,0.3751
HEALTH_AND_FITNESS,1621,1219,141,261,75.2,8.7,16.1,0.2944
EDUCATION,519,381,49,89,73.41,9.44,17.15,0.2985
FOOD_AND_DRINK,583,420,67,96,72.04,11.49,16.47,0.2798
PARENTING,256,179,21,56,69.92,8.2,21.88,0.3133
LIBRARIES_AND_DEMO,332,228,43,61,68.67,12.95,18.37,0.24
PERSONALIZATION,961,652,125,184,67.85,13.01,19.15,0.2747
BOOKS_AND_REFERENCE,617,411,72,134,66.61,11.67,21.72,0.259
WEATHER,194,129,24,41,66.49,12.37,21.13,0.2813
MEDICAL,1156,760,143,253,65.74,12.37,21.89,0.2265
ART_AND_DESIGN,334,218,38,78,65.27,11.38,23.35,0.2403
MAPS_AND_NAVIGATION,189,120,24,45,63.49,12.7,23.81,0.2598
PRODUCTIVITY,1135,718,172,245,63.26,15.15,21.59,0.1945
PHOTOGRAPHY,906,569,160,177,62.8,17.66,19.54,0.2248
SHOPPING,649,395,114,140,60.86,17.57,21.57,0.2025
LIFESTYLE,834,502,123,209,60.19,14.75,25.06,0.2247
TRAVEL_AND_LOCAL,1331,793,231,307,59.58,17.36,23.07,0.2116
HOUSE_AND_HOME,445,264,75,106,59.33,16.85,23.82,0.2249
DATING,1087,644,200,243,59.25,18.4,22.36,0.1794
FINANCE,1336,790,256,290,59.13,19.16,21.71,0.172
SPORTS,1216,719,248,249,59.13,20.39,20.48,0.195
TOOLS,1398,813,206,379,58.15,14.74,27.11,0.2138
NEWS_AND_MAGAZINES,733,422,140,171,57.57,19.1,23.33,0.1529
COMMUNICATION,855,489,153,213,57.19,17.89,24.91,0.1719
FAMILY,2496,1419,584,493,56.85,23.4,19.75,0.1267
ENTERTAINMENT,701,397,147,157,56.63,20.97,22.4,0.1318
BUSINESS,657,361,105,191,54.95,15.98,29.07,0.1997
VIDEO_PLAYERS,326,179,76,71,54.91,23.31,21.78,0.1361
BEAUTY,317,174,60,83,54.89,18.93,26.18,0.1997
SOCIAL,661,335,164,162,50.68,24.81,24.51,0.1081
GAME,3921,1962,1151,808,50.04,29.35,20.61,0.0647
