Feature,Coefficient,Abs_Coefficient
BsmtFinSF1,3.69481070508561e+17,3.69481070508561e+17
BsmtUnfSF,3.5925436423427206e+17,3.5925436423427206e+17
TotalBsmtSF,-3.5467622720617574e+17,3.5467622720617574e+17
GarageType_Missing,2.7456949592597818e+17,2.7456949592597818e+17
GarageFinish_Missing,-2.745694959259358e+17,2.745694959259358e+17
BsmtFinSF2,1.2734059419033302e+17,1.2734059419033302e+17
Neighborhood_NoRidge,50032.0,50032.0
Neighborhood_StoneBr,46480.0,46480.0
BldgType_Twnhs,-44906.0,44906.0
BsmtQual_Missing,-44196.0,44196.0
BldgType_TwnhsE,-36000.0,36000.0
GarageType_Basment,33208.0,33208.0
BsmtQual_Fa,-31640.0,31640.0
BsmtQual_Gd,-31102.0,31102.0
BsmtQual_TA,-30112.0,30112.0
Neighborhood_NridgHt,29744.0,29744.0
KitchenQual_TA,-29080.0,29080.0
GarageType_Attchd,29000.0,29000.0
SaleCondition_Alloca,28568.0,28568.0
GarageType_BuiltIn,27856.0,27856.0
KitchenQual_Fa,-26900.0,26900.0
GarageType_Detchd,26512.0,26512.0
KitchenQual_Gd,-26376.0,26376.0
GrLivArea,25014.387292196192,25014.387292196192
Neighborhood_Edwards,-24208.0,24208.0
SaleCondition_AdjLand,20320.0,20320.0
Neighborhood_OldTown,-19908.0,19908.0
Neighborhood_Veenker,19272.0,19272.0
Neighborhood_Mitchel,-18056.0,18056.0
Neighborhood_NWAmes,-18032.0,18032.0
Neighborhood_SWISU,-16848.0,16848.0
Neighborhood_IDOTRR,-16696.0,16696.0
HouseStyle_1Story,15616.0,15616.0
Neighborhood_Sawyer,-15106.0,15106.0
SaleCondition_Partial,13656.0,13656.0
GarageType_CarPort,13352.0,13352.0
BldgType_Duplex,-13120.0,13120.0
Neighborhood_Crawfor,12752.0,12752.0
ExterQual_TA,-12736.0,12736.0
OverallQual,12603.540686721528,12603.540686721528
Neighborhood_NAmes,-12566.0,12566.0
Neighborhood_Gilbert,-11344.0,11344.0
MSZoning_FV,10688.0,10688.0
Neighborhood_Blueste,-10641.313832394417,10641.313832394417
Foundation_Wood,-10624.0,10624.0
GarageCars,10178.07830909422,10178.07830909422
HouseStyle_SFoyer,10144.0,10144.0
BldgType_2fmCon,-9704.0,9704.0
Foundation_Stone,9628.0,9628.0
ExterQual_Gd,-9584.0,9584.0
HouseStyle_2.5Fin,-9280.0,9280.0
Neighborhood_SawyerW,-9184.0,9184.0
MSZoning_RH,8752.0,8752.0
HouseAge,-8636.569702895078,8636.569702895078
Neighborhood_BrkSide,-8184.0,8184.0
Foundation_PConc,7192.0,7192.0
Neighborhood_Somerst,7112.0,7112.0
HouseStyle_2.5Unf,-7084.0,7084.0
HouseStyle_2Story,-6880.0,6880.0
SaleCondition_Family,6729.0,6729.0
Neighborhood_MeadowV,-6648.0,6648.0
OverallCond,6403.170405324198,6403.170405324198
SaleCondition_Normal,6104.0,6104.0
Neighborhood_Timber,-5729.0,5729.0
FullBath,5257.421461051934,5257.421461051934
Foundation_CBlock,5256.0,5256.0
Foundation_Slab,5252.0,5252.0
BsmtFullBath,5157.370365786141,5157.370365786141
LotArea,5047.779334165685,5047.779334165685
Neighborhood_BrDale,4589.873875322897,4589.873875322897
LotFrontage,-4519.845656691123,4519.845656691123
MSZoning_RM,4208.0,4208.0
HouseStyle_SLvl,3680.0,3680.0
TotRmsAbvGrd,3516.5744096436265,3516.5744096436265
HouseStyle_1.5Unf,3502.0,3502.0
ScreenPorch,3287.5075020851314,3287.5075020851314
KitchenAbvGr,-3233.8174588613383,3233.8174588613383
Fireplaces,3124.5974048447906,3124.5974048447906
Neighborhood_ClearCr,3024.0,3024.0
HalfBath,2461.9690487282314,2461.9690487282314
BedroomAbvGr,-2176.702794164261,2176.702794164261
3SsnPorch,2174.585557906583,2174.585557906583
WoodDeckSF,2147.2491178430073,2147.2491178430073
MSSubClass,2131.4990451749895,2131.4990451749895
MSZoning_RL,2040.0,2040.0
GarageFinish_RFn,-1760.0,1760.0
Neighborhood_NPkVill,1707.5,1707.5
GarageYrBlt,-1693.4437372776283,1693.4437372776283
Neighborhood_CollgCr,-1312.0,1312.0
CentralAir_Y,1136.0,1136.0
GarageFinish_Unf,-1064.0,1064.0
ExterQual_Fa,-996.0,996.0
MoSold,-804.1642707866404,804.1642707866404
BsmtHalfBath,550.8184514272434,550.8184514272434
EnclosedPorch,472.81812032794187,472.81812032794187
OpenPorchSF,-359.3602363029147,359.3602363029147
MasVnrArea,-268.76834347664044,268.76834347664044
RemodAge,208.35946640185102,208.35946640185102
MiscVal,157.67548432401418,157.67548432401418
PoolArea,-109.55490796818276,109.55490796818276
